"","text"
"1","my husband just told me he has a crush on someone he met at work he s worked from home since march"
"2","i work from home so that s all i do"
"3","i blame my brother s work he can t work from home and his building has crappy ventilation"
"4","about my son who since his dad died has stepped up in so many ways he was just here helping me with"
"5","valentine s day gifts for couples who work from home together"
"6","yeah i work from home"
"7","when i got home from work my mom asked if i heard what happened and i said yeah and then she mentioned"
"8","people applied to the state of hawaii s remote work program people applied to get a free trip to hawai i to wor"
"9","boris johnson   january truly we did everything we could    august cease all this working at home"
"10","this is so infuriating    the city spoke to a dozen people in all of those said they lived outside the five borou"
"11","thinking of all of the staff students and parents in schools that are home doing virtual schooling  it is challenging"
"12","most people would say tools are a poor substitute for in person collaboration and are therefore seen as a nece"
"13","not well he hasn t been inside a classroom for almost a year he goes to a day camp for distance lea"
"14",NA
"15","one interesting artifact of everyone working from home is the stark divide you see between those who find social me"
"16","i watched it again when i got home from work"
"17","this is complete insanity and based on scientific data and evidence i am a teacher and i m embarras"
"18","stop staring at the clock every day it s time for a new career follow us to view jobs with titles like lead prod"
"19","every time i come home early from work the first thing both of my parents say is oh my god did you get fired"
"20","hate when i get these bomb diy ideas then get home from work and it s dark and just not in the mood"
"21","tips for working at home with your little one"
"22","toe cheese the percentage of young adults and kids dying are lower yes however what happens wh"
"23","he bounces like he s been waiting at the door for a glimpse of you coming home from work"
"24","am meetings suck on a normal basis but during work from home lockdown they re just mean and i have one tomorrow"
"25","that s the problem when work from home ni"
"26","this is so infuriating    the city spoke to a dozen people in all of those said they lived outside the five b"
"27","i came home from work to find my wife bought me this"
"28","failing to reach an agreement with chicago public schools over reopening conditions this week the chicago teachers union h"
"29","hey yall so i m building up ig so i can work from home and i have my first paid post and it s a big deal to me lol so"
"30","does this job require you to work from home ask people ss name address birthdate phone number and t"
"31","discover the best remote jobs to work from home"
"32","walking home from the grocery store the female had several bags in each hand   she was walking"
"33","i hate that on days i don t work i make dinner for everyone so no one comes home from work hungry but on days that"
"34","they absolutely should not get the fuckin vaccine if you work from home first while most are out here e"
"35","learning lessons from lockdown  and staying at home work studies  at this point i assume once net neutrality comes into law a"
"36","work from home"
"37","when i said mindset of don t show emotion i wasn t referring to on air i was refer"
"38","i feel so sad for the seniors who live in these areas  they don t deserve to see young people drunk fucking wit"
"39","on my way home from work very different from brazil   i said i wanted to move to some place colder    i missed snow   and"
"40","i m tipsy too ending the virtual work from home day and my glasses are off  much love everyone"
"41","he s so cool tho i came to work with a headache and i told him to go home i m good for the rest of the night he"
"42","quick reminder that a camera being on means others including the teacher can see the students amp their living situation"
"43","don t allow corona virus stop you from working you can still work from home and make good income for you"
"44","the moment i get home from work"
"45","me to me everyday on my way home from work"
"46","don t allow corona virus stop you from working you can still work from home and make good income for yourself and y"
"47","don t allow corona virus stop you from working you can still work from home and make good income for your"
"48","development is a great field to work in for many reasons but one of my favourites is that you can literally work from anywh"
"49","i miss scaring finance bros on the subway by being visibly goth they re not on the subway anymore bc they get to"
"50","good i am a big fan of joshuas and think this additio"
"51","i work from home on a laptop with a touchscreen and aggressively affectionate cats so yeah learne"
"52","faster maxbit internet speeds make it possible for staff to work from home while on business or sales trips or fr"
"53","don t allow corona virus stop you from working you can still work from home and make good income for yourself"
"54","go fuck yourself   it s confirmed the school district listed it as a confirmed case"
"55","i feel so sad for the seniors who live in these areas  they don t deserve to see young people drunk fu"
"56","there s a package waiting on me literally everyday when i come home from work lol"
"57","wanted to go for a run but it started raining on the way home from work so i m just gonna take that as a sign from god not to"
"58","i ve spent my phd learning what turns out to be work from home friendly science i also incessantly keep notes amp links   s"
"59","the head of yahoo installing a nursery in her office while telling all the other working parents that they can t work from hom"
"60","when my your man texts you for your food order as he s on his way home from work gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt"
"61","he said hong kong had experienced a deteriorating security situation for or months and said the bank had been"
"62","it s confirmed the school district listed it as a confirmed case of transmission t"
"63","no stream tonight i barley got any sleep last night and i m definitely feeling it will be pretty much heading str"
"64","and the biting question"
"65","the management at work are just ace the gm told us all that because we might be feeling down through these difficu"
"66","hmu if you looking for a job hr ot customer service financial rep it s work from home till june then bacc in office"
"67","it s confirmed the school district listed it as a confirmed case of transmission"
"68","thats what i used to do now i get home from work and it be dark asf outside and i just dont wanna be doing shit"
"69","i have been work since am i am currently an hour away from being home and i already only have hours until i"
"70","you know there are people that can now work from home and last year in lockdown flew out to the caribb"
"71","yeah that s the common argument healthcare providers take an oath to help sick people but certai"
"72","some teachers education workers live in areas without access to the necessary interne"
"73","let me get this straight   mps earn k a year get subsidised food amp drinks at work can put their mortgage on their"
"74","just remembered that my mom once told me that she listened to this song every night when she was driving home from"
"75","when will and reckon with the fact that remote learning means moms disproportionately have lost"
"76","my wife and i both work from home as do many of our neighbors those that don t home school their children or are"
"77","thanks for letting me know that huskies are the worst dogs to have if you live in an apartment or work from home"
"78","i have friends in the banking industry some are saying the competitors are offering permanent work fro"
"79","our gyms are open with restrictions mandatory masks limi"
"80","as we continue to work from home you may be finding it difficult to perfect your work life balance   here are some things"
"81","the kansas city chiefs are going to the super bowl but without offensive guard laurent duvernay tardif  he took a year off fr"
"82","just buy the twats a bag of toy cars and let them work from home"
"83","this is progress but for the people at home i hear from every day the work isn t done until the shot is in their arm w"
"84","stay at home protect the nhs save lives      please follow government advice only travel for work if you cannot work"
"85","not going to lie this is the first thing i watched when i got home from work"
"86","hello welcome home from work thank you for joining us we need to fund this incredible project please and thank you"
"87","this was waiting for me when i got home from work"
"88","assemble it now for all our sakes so we can all go back to the office i say as i work at a hospital"
"89","compared to the first this one was so easy finished in an hour on my commute home from work"
"90","here in northwest pa it s pouring rain amp going down to the s overnight glad i work from home"
"91","freelance recruiter   work from home   girls   female only"
"92","yeah i edited the game was saving bc my bf got home from work and we were gonna play some cod for"
"93","i dead be having a whole concert in my v omw home from work"
"94","when my dad would come home from work i knew i had to get my ass up from his chair"
"95","i understand that many parents are struggling with remote learning due to their own inability to work from home and"
"96","do you remember when commercial property owner s gameshow host hologram and anthropomorphic oil slick richard tice"
"97","spontaneous item scavenger hunts are so great for movement breaks but simple is key i never want to impose on the par"
"98","when we buy products we help strengthen our economy and create jobs at home i applaud president biden s"
"99","it took me an hour amp a half to get home when my usual commute from work is min dallas me please"
"100","sick of bart entrances being closed you re not discouraging anyone from riding we re just trying to fucking get to work and home"
"101","continue to work from home hybrid working happy working day to you all"
"102","and in the mean time there is not enough bandwidth to effectively work from home in rural areas just outside of ottawa"
"103","why do my cats just sleep all day    like helllo i m home from work don t you miss me"
"104","work from home day"
